feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota
Cah8-300-IL	2817	8140	64	148	14734	0	6	778	23	0
Cah8-301-IL	458	6915	21	26	11804	4	2	726	0	0
Cah8-302-IL	257	7664	0	19	10672	0	5	3966	7	0
Cah8-303-IL	1584	3738	0	28	14007	0	0	263	68	0
Cah8-305-IL	2233	8706	0	11	12832	0	0	26	0	0
Cah8-307-IL	599	9054	0	103	12674	3620	0	2200	303	0
Cah8-308-IL	239	6249	4	44	11188	0	0	1392	0	0
Cah8-309-IL	1985	4600	0	0	13914	0	0	413	0	0
run06-192	498	6048	271	0	14762	2	0	163	95	0
run06-57	248	7360	0	0	13900	0	0	177	0	0
run06-58	309	3238	0	0	10577	10	0	1150	895	0
run06-59	599	3610	0	43	16138	2	0	299	171	0
run06-60	541	4276	0	0	19124	127	18	587	0	0
run06-61	3154	4513	0	54	14009	2	2	193	2	0
run06-63	638	1507	0	0	12847	0	0	2	0	0
run06-66	1176	3956	0	9	10815	0	0	628	0	0
run06-67	692	3464	0	0	13121	0	0	281	0	0
run06-69	111	0	0	0	26371	0	0	652	0	0
run06-70	4386	22	0	0	10453	0	0	3042	0	0
run06-71	311	4315	0	62	8814	41	0	1433	415	0
run06-72	4021	1546	0	52	10311	0	0	807	86	0
run06-73	339	0	0	0	18708	0	8	16	0	0
run06-74	774	2166	0	0	7692	0	0	3	0	152
run06-75	226	73	0	0	8617	0	0	4536	0	0
run06-78	1237	4344	0	0	6376	0	0	1005	0	0
run06-80	213	5296	0	104	6014	8	0	398	39	0
run06-82	1554	2889	0	0	8127	0	0	597	0	0
run06-83	2309	4071	0	0	7906	2	0	267	0	0
run06-85	113	1987	0	0	12950	2	0	15	37	0
run06-87	269	1128	0	0	8768	0	4	2289	0	0
run06-90	1444	2877	0	27	8303	0	0	106	0	0
run06-93	1021	2358	6	30	8168	0	0	344	6	0
run06-94	413	1756	0	2	5921	3	5	2011	55	0
run06-95	1757	2664	0	21	6068	5	11	286	4	0
run06-96	1552	2838	0	8	8671	24	9	2491	0	0
run07-Cah7-51	2746	7990	65	132	19111	0	0	39	0	0
run07-Cah7-53	4476	11113	0	0	8888	0	0	1276	0	0
run07-Cah7-55	555	4355	0	11	15783	0	8	2367	0	0
run07-Cah7-56	260	13297	3	47	6975	0	0	331	51	0
run07-Cah7-59	1336	6136	0	480	13448	0	0	912	6	0
run07-Cah7-60	1232	4465	0	26	20358	0	0	532	0	0
run07-Cah7-61	1102	5217	60	137	12356	0	5	1738	0	0
run07-Cah7-62	300	6181	0	61	10801	0	0	671	0	0
run07-Cah7-63	694	6607	0	18	9465	0	11	71	98	0
run07-Cah7-66	1167	4138	80	41	6982	58	5	480	218	0
run07-Cah7-69	553	3974	139	103	14332	0	0	459	696	0
run07-Cah7-72	396	3329	0	55	17000	0	0	368	1967	0
run07-Cah7-73	1869	5010	41	228	10259	4	0	312	152	0
run07-Cah7-75	2289	6178	34	139	14848	15	23	1224	0	0
run07-Cah7-77	2637	2785	130	0	10601	0	0	341	6	0
run07-Cah7-78	1403	9860	0	35	10191	0	0	1981	83	0
run07-Cah7-79	1018	7458	0	5	11901	3	0	600	0	0
run07-Cah7-80	98	402	0	4	1413	0	0	15800	0	0
run07-Cah7-81	1672	6213	0	12	11418	0	18	557	0	0
run07-Cah7-82	1585	3516	0	23	12537	2	5	479	0	0
run07-Cah7-83	2050	4289	0	14	12747	4	26	480	0	12
run07-Cah7-84	1797	6328	19	157	15496	0	4	745	284	0
run07-Cah7-85	3555	2201	0	4	13259	0	0	199	0	0
run07-Cah7-86	2966	2758	0	40	11965	0	0	128	0	0
run07-Cah7-87	198	5036	7	19	14819	0	0	185	42	0
run07-Cah7-88	566	4681	591	140	9835	0	0	905	13	0
4013.1.lib27	937	6275	19	60	17703	0	0	476	3360	0
4019.1.rerun.lib32	136	15823	0	182	17341	67	9	2147	0	7
4023.1.lib29	70	4273	0	0	10032	157	0	1583	0	0
4024.1.rerun.lib32	652	720	0	0	12728	0	0	19	19	0
4027.1.rerun.lib32	140	11080	0	0	16626	0	0	1694	0	0
4035.1.lib27	293	3199	0	94	10477	0	0	114	0	0
4036.1.lib29	42	5863	0	49	4714	0	0	407	8448	0
4042.1.lib27	165	4874	0	91	9378	0	0	502	71	0
4051.1.rerun.lib32	794	12904	0	231	13121	0	0	614	0	0
4056.1.lib29	350	8385	0	153	20110	0	0	480	0	0
4058.1.rerun.lib32	316	685	0	0	37028	0	0	4663	0	25
4060.1.lib27	310	6800	0	6	16529	0	0	669	0	0
4070.1.lib27	86	11068	0	0	18087	0	0	6001	0	0
4072.1.lib27	1030	5149	0	99	17031	5	0	1473	20	0
4075.1.rerun.lib32	407	6538	165	99	14343	0	0	378	212	0
4076.1.lib27	536	1428	0	156	7597	3	8	2271	9	3
4092.1.lib29	59	5448	0	0	13962	54	0	534	0	0
4097.1.lib27	1366	3730	50	249	19529	0	0	3086	0	0
4099.1.lib27	1140	4645	90	503	20810	0	0	201	53	0
4105.1.lib27	533	1173	0	11	17848	0	0	285	8	0
4119.1.rerun.lib32	97	8729	0	146	14956	3	0	649	90	0
4124.1.lib29	555	2903	0	0	3647	0	0	5066	0	0
4128.1.lib27	839	11813	0	0	23351	0	0	1934	63	0
4131.1.lib27	487	9697	0	17	12972	0	0	174	0	0
4132.1.lib27	483	14784	0	0	27135	0	0	416	0	0
4133.1.lib27	36	29471	0	0	14675	0	0	15405	0	0
4139.1.lib27	82	4566	0	78	12509	0	0	429	0	0
4146.1.rerun.lib32	710	9418	0	61	9335	0	0	3431	0	0
4147.1.lib29	379	3472	0	0	23952	0	0	1015	0	0
4148.1.lib29	1252	2493	0	0	10356	0	0	6286	0	0
4151.1.lib27	582	3509	0	6	57691	0	0	6898	0	0
4156.1.lib27	22	34777	0	0	15637	0	0	478	0	36
4159.1.lib27	384	8121	0	0	32794	66	0	2816	0	0
4164.1.rerun.rep.lib32	795	254	8	0	3444	0	0	7213	5	0
4166.1.lib27	237	13481	0	450	24716	0	0	1499	14	0
4167.1.rerun.lib32	776	8998	553	1110	12541	8	0	227	12809	4
4173.1.lib29	131	10354	0	0	31882	0	0	16039	101	0
4174.1.lib27	1666	10327	0	0	18235	16	0	331	0	9
4176.1.lib27	472	66	0	0	81729	0	0	3643	0	0
4180.1.lib29	332	5582	0	29	13115	0	0	205	0	0
4183.1.lib27	496	7399	0	0	32188	0	0	646	330	2
4184.1.lib27	252	25989	0	223	32305	0	0	9893	725	0
4187.1.lib27	149	3556	0	18	10099	0	0	66923	0	0
4188.1.lib27	293	8351	0	156	40384	23	0	22285	3268	0
4192.1.lib27	323	7003	87	0	9098	19	0	2635	0	0
4194.1.lib27	614	9241	0	194	21460	0	0	6918	0	0
M001.TI	302	6867	244	0	15361	0	0	2011	0	0
M002.TI	238	10426	0	716	14883	22280	0	1469	22	0
M003.TI	25	3532	32	69	6997	0	0	5796	0	0
M004.TI	414	3121	5	74	7492	0	0	222	0	7
M005.TI	98	4887	4	287	9596	0	0	733	2151	0
M006.TI	435	4031	0	47	18475	0	16	2444	0	0
M007.TI	5	3665	0	43	6683	2706	0	762	0	0
M008.TI	115	14892	0	173	34758	22	0	10107	2095	0
M010.TI	119	4745	8	8	14652	0	0	3900	10	0
M011.TI	78	3382	48	12	17239	0	0	374	32	0
M012.TI	357	9821	73	57	27840	15	0	6328	27	0
M013.TI	573	3379	3	10	35599	0	0	530	8	0
M014.TI	368	4990	0	28	16164	0	0	871	0	0
M015.TI	324	4198	81	203	20792	0	0	654	54	0
M016.TI	52	4201	21	45	13760	4	4	1108	19	0
M017.TI	1536	8590	639	101	27980	0	6	670	1425	0
M022.TI	1141	14141	0	76	37275	13	0	2636	0	0
M023.TI	355	5380	73	8	28263	0	0	2329	0	0
P301TI1R.lib20	513	5766	67	85	8670	2	0	963	142	0
P302TI1R.lib21	596	2497	362	77	13544	0	0	715	3	0
P304TI1R.lib21	643	3395	0	31	29244	0	0	2131	0	15
P305TI1R.lib20	77	8363	0	26	5595	0	2	2101	0	0
P306TI1R.lib21	189	11521	19	193	18340	278	0	1836	22	0
P307TI1R.lib21	561	7081	91	68	23404	6	0	2833	29	0
P308TI1R.lib20	86	3166	28	29	10152	0	0	292	2131	0
P310TI1R.lib21	511	8894	136	4	19852	0	0	4084	93	0
P314TI1R.lib21	1144	8890	211	9	21821	0	0	3189	0	0
P318TI1R.lib21	166	4177	78	32	13472	0	5	592	0	0
P320TI1R.lib20	91	4612	183	354	8079	0	0	566	147	0
P321TI1R.lib21	63	1082	0	24	15836	0	0	265	31	0
P323TI1R.lib20	1035	2153	25	38	16949	0	0	539	55	0
P325TI1R.lib20	580	4757	18	105	13665	0	0	795	564	0
P326TI1R.lib20	1524	3910	15	16	12897	2	0	1255	0	0
P329TI1R.lib20	33	2892	0	6	7048	2	0	690	6	0
P333TI1R.lib20	129	2412	49	19	10540	14	2	214	8	0
P334TI1R.lib20	441	1452	0	18	11798	0	0	629	0	0
